PetId,amt_sum_12m,amt_mean,amt_max,n_claims,Species,Breed,Premium,Deductible,EnrollPath,pet_age_months,EnrollDate,last_claim_date,first_claim_date,days_since_policy_start,first_claim_gap_days,preexisting_proxy,loss_ratio_12m
0,1242.0,621.0,624.0,2,Dog,Schnauzer - Standard,84.54,200.0,Web,36.0,2018-09-18 17:51:00,2003-07-20 12:17:00,2003-07-20 08:03:00,,,0.0,14.691270404542227
2,173.7,173.7,173.7,1,Dog,Mixed breed Medium (20 - 55lbs when full grown),74.0,500.0,Phone,6.0,2018-08-22 11:23:00,2011-07-19 17:15:00,2001-10-20 11:35:00,,,0.0,2.347297297297297
4,539.35,107.87,174.5,5,Dog,French Bulldog,60.69,700.0,Web,6.0,2018-03-22 16:28:00,2009-05-18 22:00:00,2005-02-19 05:01:00,,,0.0,8.886966551326413
5,1418.74,236.45666666666668,854.14,6,Dog,Shih Tzu,43.53,700.0,Phone,24.0,2018-01-05 14:50:00,2007-12-18 12:36:00,2004-09-18 15:20:00,,,0.0,20.0
7,1454.23,484.74333333333334,658.25,3,Dog,Boxer,75.14,700.0,Web,60.0,2018-02-27 09:12:00,2012-02-20 16:40:00,2002-04-20 20:59:00,,,0.0,19.353606601011446
10,1701.8899999999999,425.47249999999997,1079.33,4,Dog,Mixed breed Large (55 – 90lbs when full grown),80.83,200.0,Web,6.0,2018-01-31 06:33:00,2010-05-20 18:05:00,2001-08-19 09:26:00,,,0.0,20.0
11,409.3,409.3,409.3,1,Dog,Golden Retriever,45.65,500.0,Phone,6.0,2018-05-11 07:04:00,2007-03-18 11:57:00,2007-03-18 11:57:00,,,0.0,8.96604600219058
12,1192.23,1192.23,1192.23,1,Cat,Domestic Shorthair,47.42,200.0,Web,72.0,2018-10-16 16:04:00,2012-05-19 12:30:00,2011-01-19 05:59:00,,,0.0,20.0
15,512.0,512.0,512.0,1,Dog,Miniature Goldendoodle,27.94,700.0,Web,6.0,2018-10-29 19:54:00,2002-08-19 18:24:00,2002-08-19 18:24:00,,,0.0,18.32498210450966
16,262.55,262.55,262.55,1,Dog,Wirehaired Pointing Griffon,67.74,250.0,Phone,6.0,2018-10-17 14:29:00,2009-03-20 15:39:00,2001-09-19 15:27:00,,,0.0,3.8758488337762036
17,560.16,560.16,560.16,1,Cat,<Mixed Breed (Cat)>,56.31,200.0,Web,6.0,2018-05-18 10:04:00,2007-09-19 17:31:00,2001-08-20 09:06:00,,,0.0,9.947789025039956
21,3886.23,3886.23,3886.23,1,Dog,Dachshund - Standard Smooth Haired,43.89,1000.0,Phone,72.0,2018-06-13 08:13:00,2010-11-18 03:36:00,2003-06-20 08:19:00,,,0.0,20.0
22,433.0,433.0,433.0,1,Dog,Goldendoodle,77.83,600.0,Phone,6.0,2018-12-22 10:15:00,2009-08-20 07:29:00,2008-07-20 12:04:00,,,0.0,5.563407426442246
24,168.36,168.36,168.36,1,Dog,Boston Terrier,40.83,1000.0,Phone,6.0,2018-02-19 09:49:00,2007-12-19 10:31:00,2007-12-19 10:31:00,,,0.0,4.123438648052903
26,34.45,34.45,34.45,1,Dog,Labrador Retriever,107.36,250.0,Phone,6.0,2018-03-01 18:09:00,2007-11-18 15:35:00,2006-06-18 09:43:00,,,0.0,0.3208830104321908
28,349.03999999999996,174.51999999999998,308.9,2,Dog,Labradoodle,55.34,500.0,Phone,6.0,2018-05-25 11:04:00,2012-11-18 11:34:00,2003-11-20 09:49:00,,,0.0,6.307191904589807
29,76.9,76.9,76.9,1,Dog,Labradoodle,62.63,200.0,Web,6.0,2018-05-17 20:35:00,2009-08-18 15:32:00,2009-08-18 15:32:00,,,0.0,1.2278460801532811
30,207.0,207.0,207.0,1,Dog,Miniature Goldendoodle,69.24,400.0,Web,6.0,2018-11-17 18:18:00,2009-06-19 15:40:00,2009-06-19 15:40:00,,,0.0,2.9896013864818025
31,155.3,77.65,131.8,2,Dog,Pomsky,52.6,200.0,Phone,6.0,2018-06-13 08:25:00,2009-01-20 01:58:00,2009-01-20 01:56:00,,,0.0,2.952471482889734
35,8823.869999999999,1470.6449999999998,2589.29,6,Dog,Labradoodle,48.9,200.0,Phone,6.0,2018-01-19 10:42:00,2012-05-18 08:21:00,2002-11-19 14:05:00,,,0.0,20.0
36,819.7,819.7,819.7,1,Cat,<Mixed Breed (Cat)>,46.55,500.0,Web,108.0,2018-05-06 10:42:00,2008-12-20 08:57:00,2008-12-20 08:57:00,,,0.0,17.60902255639098
37,878.68,878.68,878.68,1,Dog,French Bulldog,101.96,500.0,Phone,6.0,2018-12-20 14:24:00,2009-01-20 16:26:00,2009-01-20 16:26:00,,,0.0,8.617889368379757
41,289.23,289.23,289.23,1,Dog,Mixed breed Medium (20 - 55lbs when full grown),70.74,250.0,Phone,12.0,2018-08-31 19:56:00,2008-09-20 21:18:00,2008-09-20 21:18:00,,,0.0,4.088634435962681
45,150.0,150.0,150.0,1,Dog,Chihuahua (Short Coat),78.8,200.0,Phone,96.0,2018-08-25 09:09:00,2001-03-19 15:13:00,2001-03-19 15:13:00,,,0.0,1.9035532994923858
47,8126.9,4063.45,4063.45,2,Dog,Maltipoo,53.42,200.0,Web,36.0,2018-09-05 10:44:00,2011-08-18 08:38:00,2011-08-18 08:26:00,,,0.0,20.0
48,627.82,627.82,627.82,1,Dog,Boxer,147.71,250.0,Phone,60.0,2018-12-07 16:11:00,2005-03-20 15:32:00,2005-03-20 15:32:00,,,0.0,4.250355426172907
49,458.3,458.3,458.3,1,Dog,Labrador Retriever (Black),73.81,250.0,Phone,6.0,2018-06-04 14:51:00,2007-12-18 16:08:00,2006-03-18 12:39:00,,,0.0,6.2091857471887275
50,2586.38,1293.19,2068.88,2,Dog,Labrador Retriever,71.02,250.0,Phone,6.0,2018-08-23 06:02:00,2011-07-18 11:18:00,2007-10-20 09:28:00,,,0.0,20.0
